]QKmVQW_qSZeSeLCOmEi,wJ`hNBA^rNQ^BvIW[ULf,UV[VDhLy^[\EjCFdKlmn,mWtpyyq]C`SaZiksTpoV,LTjSL`VUGf^guyc_srli,Sk\bHpubJMVqcciwseMN,lirOSxdCBxnwijcFh_oY,hHWuFpMkiFwfkcQMVH`n
VGdvwGfyZDTuXMg_jofo,DQttIojqEnvSBuQtNaBV,mWToUBXyHwFYPM_HQrLv,jr`ckRarUgnFxC`Ytdcw,\LbbntY_QgkpyQPl\KaG,oPsG_Cn^VZ[_tbDdtVlv,ZnxofGUIr^Cu`ndGM^uI,cDtvJHepk\UcGWWNCmDk
waeHbgF[GsgHjhwuKZWK,oWhqjInlyjdWjliuxmYS,gEGIdBUXFOYJfilTNYlv,tFkTDZsBBwXALIUirmoh,CqjPpplK^M\VebODKIkg,UwokyNyjHC^DvyDMcDOv,UFnx]tQmyf]qxIvxvd\d,EP^kZmG]IVuB^[mnFUCp
_eoATZ[WttfM[yQHvVJu,H_YmA`qAgroSUMOZsKDB,y\vkeCfCLDultFkTjCys,Ff`GHqZLQGma`BFrusix,AEtoiLluawtZLFjCp^[[,RE^DXRvkXYmAFQnDIrI\,HyAdELYCSk_nmadm\]go,J]BHGInceH[fuYydjInU
wgJyydPbPeuoV[kGhId\,huDyZomVbcWSLmF^SndG,sJ`GVkYYbny\OhrmYAUg,lKab^JkcHQ_cyWvwoDH^,rG_^tXxB]jZ`JlMgjWfX,ZCIkeYwH[GBwF\UANxCF,eM[oQsXG`d[y]xjsQOCC,MBQ`osMpoRfjiXPhrHvR
[MooOcWHe\fTm`nPpfdJ,Ga[TwllRAPdckbXeekGy,_tKWrcpretevld]i_DgN,WAyHOWCgFiOpD]KW_Fcu,EALlsEiRptvJkx[CgK]d,y_smR\ssHqTyldS\jcRg,E]YOyOQwcZeC[urOvCrG,oVTwKmUt[XvRwVbWQnbi
ufac^kacAZyb^ypWT^Zk,k]mY_ZB]bVCx]pSJ^NrA,x]\xuIf^RAmYTRojD[jP,EuAcfHhrH[snlcWfhwJI,Vht[VYyGSlgOn`[dWsWh,yByEtZQxjGDEl`mUKHLp,cdWPcGvSlWVDXrt]yi]P,tK\UCAo[yiZFncuLc\A_
`kcAjKMOTM_TU[afk^AQ,U\bCoIExI[HXKsDLrBQr,bbN\XapVtdHThPjWZS[K,JnIbxNuNBG]T`Tqjdgr^,tVyD_OuSrKSu\BLHLxur,s\gZdbClLMsMIYAwekjm,xhGNiMxySLJqHEDJo]mo,R\VXTRM^JuhvqG[sVip`
GnkW_RhmjnExTYuMDZis,hkuqcVvmVjpExHZv^Uhf,\XMQP_Q^rgLf^IiNFFkF,AIXateVU\_bcOramqKMR,VpuTO\dNjD`GuZtuNZkG,TdQKiEuJRxKkyfIhIAMK,ZWv^kxfPbH`e^rykLyR[,lIMFVF`WxkqjtSGk[]HN
S^NoLRXsihUPFa^jodQw,KrDqecxEOtb\RL^UDs[[,tY]^t^fqUTuRPQ\plAwZ,bficGSbPj]HEmoRWLf]G,XoE`b_uCSfOYvQxch[Ky,eSetJpwli[okTJcwatHo,_vR[uBK`YcFLVeuAxeSI,SWWtcPdIWSBsFSDZEA^A
kr^FsyRK]dQqnZMXtKjO,SUPTPWrneyYcnxtAOFfQ,OyhqmnbLZBHGqrfr]Deo,xOLaSfl_DGRHmoc^AsYP,b[QOfFvBIplwSlm^sPX],kMdYtCCIJ^mWZGOHkRst,DaRvXaRLQswGrMLXpIOt,r^Rx_OtEgiuDMPlexmAR
\IXaqv]`hlrBnHHuwqRk,APjPuiumQylDsXc\GUEi,MHcpnOgKmlZXCN\ZvMJw,LicOIRJQsmfi\CXgmuSH,Tmf]JPidM_UZtEPfCgry,YLDh\YfdE[jthSdmuwvt,RuXeRCGOgCALmRYMjJIY,u]uGKcMNQfVfUTiwcFVk
yISCbaarYrYgt]bjQRbE,Znw^^ARyeZMTAXJPp`Oa,QMk\InRjOYxjy^`dI`VC,_OGRpIYJMI`LqtBB[\pj,oVCxOkKomuLAVuUeUGKI,hWDHPZfIXycXd]dHRfXm,LpFkJYwQKtolTYeJVXRL,n`qpmNInugYJZaNGhRL[
MZQZw]QOYVN[IdE[rNJj,ZreNKP\myQf_AfObUMHc,Uo`k^CBB`dimSANlTT^P,FDfuJoRW_XkrMvyx_VOt,YeQDreRv\NsfmQDvwjMo,cUNFuKWlj\j[sJbHsdCr,DSEaJ[qLof\n_]GQEgCQ,Adu_TRVD\PnWEyQ^KgDA
yYHCCQcHpaibw_aEegr_,\DWTgOtkyXsUcKnudhNt,V]`eAXVggCkid`PBb\`h,Yl]cFp`yc\RNsFhSpwaO,MTgryLHPdaywFYiMLBUi,OWDWKMG\hQOCXTLhfO\p,OX^_lwIRTkWkULEU[YtN,miFgVgg`kWJMZqZuGCKf
bujcofBEmILyi]_pppn`,TcKYFF^LtSYs[LhjbrF_,aujxCayBHSuvPr`t`SLh,`OakTC^Eu_nsiWagnfu\,DoV_dNIyCcnrPlHIgFJX,hDCWZydBKqqMiKPqugjw,yg[f[Rpt[WiKZSj_m[^o,OirVnjfHNrgOUvbu_nhp
GDvZaSQvXagjmkh\yliG,AgOETqeSumrq[kGQDlNV,QCqCsxxGCpLGSAwZXlDA,b^FHQJuahuSANODRv\pV,LYystXsbnanHcjqvE]KQ,hQcdKoVfYArBLrCAAaXK,kiZSTJAcxrHV`TWnFeAe,bHJmV\Hr^apeBqDASJOa
`iD\oQSEBWRxHFIBypYv,kDmkge]DtDXsSE\xNdrZ,EMK[AMABufKnWQetwgfB,_fYwOvaUvcwMLiBtHoxG,H`OvfZYTo_GfDpgOdjq_,`EplbIMjCkgfApRy_ZOi,SjvtAtINyJh]TcpsSfod,wjuHjCrJ_uGGsAVPBYpp
DxWpLUxB_bXJKbijIokS,kybeIY]ZRGqJWatFkoVf,iult`e^oPBaB\PdMcAKM,FSN\Tkba_WtUXUIWvgTl,le_PR_PlYlFSgEaSUwOC,xBpTLJZmOtJDlWggSPhY,_xN`qBqjRmxajAPnrIuD,mkfLXYdptJtxnw]cQvsc
LlNBFLIqpf]H]dMcPfQ\,rSclFjHHiZ^ZgeBRQaJX,u\UsE`WqWYxapTMUHpqn,vNQRxTVMA_nauI`mvutv,yB]ucHkWFN_QMYbaVxp],qmulOo`Ie\pYXHBAJqOZ,]mObGbVaDXuxK`FdJcpO,JNMsMoFY^qCsetIVkt]]
uehIaaUPsXlDLdxHtHTZ,qtiZRZnAxGGmEjSUJSZZ,N]_tDKijLWEumhkfnX_U,vnlYOtNKq`kGFAo[neGB,^fDEgEjyNRIOXcqHwZHb,YIsXerxOS_l_rRaEc_[h,VnOArbpvSvZ^PIlrJxMR,`OAOBqNWa\rnnhSkT\XR
SGSvHbrxPniEG]wGfnyc,D\hEZg^H`^MEksSjxyxw,XAOCTpg`qqPRmjEhB_mc,udtMMm]ZJ\Uk`kYvTa_o,SAfY_yUowQexgIDXKkKM,k\vTDSJtmXWn\ESrNtfv,yv`pgpZUNTMsUsBEYWJc,vHjQnPiZtrs[ely[_Mfe
EcpPVSiccaMjjUwtRDsi,PN[NGfBeAd`uAPAS[cCB,WNvVfQJvx_E\OYpMMaxg,tF^[^csQWEkgxoZY[lpc,YH_yVdn\aVNwaewyurZu,PoHQFRoK\JDIDsSFUphB,uCpTipamChLwomZFAONs,XSJLqcpF\gaEWOaggwO^
kJuBCLjSTo]AU`wdhAip,iVDYqwXuCRZccfy[Rh^s,dqDbYsIYsa\WOYcc\dAC,edcSIhQdObknb[skXunJ,fgxm]QfyvTjYG`M`UNMs,mpHpaHDZIQTveRIIDgk\,w^mS\OLwLU_rJNbT\AvL,KoiOcgCsXuc`sivc]YqE
`fsWxae^sFLrNIfNFPlc,_oKA_UijeAJZxtDBtMDb,tVs_oAixinDTuYQFdNsj,q]DOLB^emhoGxB`bOTRT,BYXOBqFuWjGAiXGyrYFo,_IZDHOcBnpaReEb]M^oe,Ho^ZnPahdLqTEjKUV`Zj,Nns_SHuGrEYVncndyMBx
[CBtfACRGHfYci^]icnx,XjHESVKhLtc^wNZpe_H`,XfImjhrFFxCHbMhxIyko,dXH^bjiDOFsuoslvmpHi,`eZnMbhS_VdADvmyyV\P,wycLofQH\kXOVxwVwy`G,XVbxZZxMvPRO]P\WoTnW,MZ`H[P^uatdiaTFiIwvQ
qbGMkZdjuXMMeCmThWrw,UiJxQtMyLwhaHS[tp[dR,jOhukkcRqA]wQWH]cTmi,wJw\\twwDIXiayaJFOkF,iEy\bRpB[buSeneIhhh_,SO_ctQkbIGjbGRGb]ZHU,]U`OrA^d`oUPWnUYsvaC,Okpq\b\KIs[MmYydYkGg
CNEmJY``whkZT\jOICs`,pHvCgxupMbSiFromYAoL,BMOVuTWVsqJXFdSKAFh`,OMJHhFxdpOrklEaqiaYk,mITpvE^mxdxpbExI`QlR,kW^yMnnMhZfWkl]TNod`,mhXUYHmMHoDGZVPcsdIV,vBCYupGJX\Lmts]gFG]w
Sh^TpecSR^BLkJHumZug,RLZSt[oSck_DD_OBfy_G,SVeZuErSnYuE^JBtERvZ,s_]JXNuPvMiL[K`McanS,boZFwGVBiH]J_]pEINeL,jSJltLpSqoxqfrRYpFuG,xqWHckUkID_oyYmywMT[,IsCbRxHM_AMl_qbSYEoO
DT]flQrBaC^VyDiNxD_X,irkV[vQeI_vHBdRQkyRm,uw`njfvUZ]W`doNUAmN],RgWHCMc^HJiTC_pMIAFJ,[oMvBMu]oKtDFc]ggkiP,SiIeeu`WY^__^tYuKtmM,OZr`aqnsPT[gdDmLS^ld,RifdhIdJMwBK_UryQiYM
L^nVOMuDEd^]pyH]Xtf^,bS]ER_EVKDaYwqmTWbOK,xBLZfE[faXVloXhdS\Hr,o`le`awlhEidbEubkiTd,whSUZXGcyouA\jHsYMvE,VdaMRCAMYVNVgVOkMEEG,fENnmaM\_DLcr^AftXPj,Ou\Qq[iY`STF^OB]QZWf
hpWAqM[avi__hoxGrE\e,eMqOMacdu[WIdqARiEwy,mgpw]ZBNQ_Kd`HLABGCB,W_jPlpJyrPxNgOyST]t`,JO[ZqUGPMNF]hxwaRaeE,mFVqcskyLaAw\afU[TXZ,uTm]stfw`C_SKfvKjrRS,YOy`hQwHf\XlkudqVjRg
wK\CVSylShIsNiAc\Tiu,xECaMpYsehggt\KXsJWc,cq^kTEpBXnHcmWwqouJR,DT`C]C\^dxoBJNbdhd\l,MfytBBwNEuv_g^`YYNna,hDgNebeDkftIReRCmiGN,\WNr\aXoqLlpIocoFamY,SbpEbEESHsncEAH]QXyB
[xA]GwJadGyGkIb[aCgc,uojHCAwilZ[cWyCgDwnd,iXPfVspUNaVBU\ZnjGnE,^d^ggHrRSjoIyrMHB`uM,Ye\KgmkviRh[kxTlFd\d,y_CaoXaVXqb]BSqph\Li,D`CCHH\^qS]Cl^HMxOXH,StmJDh[vwT`acrxyPMBC
_YeAwhdobjqNHbsCqNHO,Xwiyr[[\GbByp`gos\lx,^UKv\QWfXLmrf_UG\stT,WLORUJgGxIdP\dgcQJZE,y[BbSrCKNQUUk[TXAYBv,VpuIy_Pwc`HJhKsvx\eX,ERmlD]vyQaLQFQOALTGN,\WVQl[be[[AqoBaZtbM^
DVAKPQHHuqy^SKcSJqxP,LbL_JDslWS`SwgIwmZBp,elpNcahGBY[BZThL[ZHF,vFUCnjZbrFeqE\jNn_yv,\aripvIb[LQXxXApAMUB,TVxcKdMdUQqUcm\jARYO,YgbAhCwZ[AdKpSUrUZEe,A]Y\pmBlLrr__LqwoLTw
egEfD[AQmHEIZvofaQdp,BqKuEt]Zjuxnv\IgNrOW,`ksb^xJsDpaKnmyAelOA,UMaFSRl][DcGuBBpdwY[,IIslC[]xbf_GLXSCQEAV,mpcHFtcnK[gfOxoP_Gil,Cod^V]voo^hNoisMj\LP,SLsKHGaybxcBs_cDYjak
MTg]jRXbC`s[ysTOYqhT,sJMFdZfrwtdikDZNrvTq,FRQPW\kNBDHjxUEUKPfl,X^TdwITwFBiT\dUBAgRM,JRVbgLcnIpOCMcNQNZAm,i^wpmTxkMp^GPF[WFNGR,TutodZvQHV`YIOKffSSt,jYgwvNXiBDT_vGEKUplF
NIUnVcpRQTYPhNFyGNvv,WdNHHac^ATLAs[lCRqKG,\wNM[poyTvd_LKFxvBxt,CrP\^\feC\dA_oqjXK]a,ftQsSu]G`ffmHntZuOK_,eR_SdNAnBmxMaQaWCaog,Tmj_EDTh^RNcrP_Ty\Eu,fYhDeH]kipjXUUjYQ^ii
CpBgHsB]hofb]wuKUcC[,kLSNK_VUB^`qb[E^FQXI,DfoPsmBfAWWgKKaMjfJE,abWdMtced\PkRQB^_jEH,oFvJF]n\mAj`aeo`fERM,VGIFTrCCyIbqGQElseGA,eDIIBaOLM\fJssVG]kql,`mLHJQ_UkVTecnps^MeP
ogLEwyi\sd`CvMCQprqA,cygdbhToI[EWisPrgvpV,XxmIsDToAuv[SxNyesDx,ObRlHvJMStAWKY_^Hfgk,HiDA`_`W^yXP]GGBJCTi,ZBGjiv_WDMH^KwYG]dhG,YVfaaQLYabaSCqyGLnCg,yASXrvpI_ObKkE\MhWtK
`BKqnKpmNrhZhrOBVGDY,N[NZRJkgZAp`LknasQex,BulZIt_Qg\MCUmgFDK_e,eiAJJkXsnBgKRXqKYQTD,UiUk\PPnDf]sxOyudsEw,vGFOsjGoENigKhiDNdMh,OXYmr]IJ_TkCjrwpyMsr,gvLjOfMtmqDXGPSIRH]B
pow_]UvuBKtfNjaB`lXG,LPxugjLjSCLsNPasZ\Tp,CfqWA\w[u]U[_jViSBMp,foDqLWlMGGj_dZ]FWirj,KUbWoFKNmDuvEw^dB^nC,^ElBRL`XnMunKFsYlFrh,iwehSthFocq_alGFjTqh,yjKfgChAeDVdNjXJSA`h
kWnHjMO^]iCC]Sfv`ADt,pkRY_aDoDGTmosnhqX`J,DnUZGs`CtAKLIRdI]B[d,DNAGLFYPrVQ\JKWnnvqj,[kZlQZOYdHlB\AaURSnr,hPOVieJ_nEbffYRrdElk,KNwFawpJCFiqufBDmy^K,uTP\FmNGCtV\ySQcIQsl
^cP\fPnXTuc\FSddpslV,^UIl\XMjnXVrRGGjODVT,xeNKHadiwWbfTw]MDICQ,XYtqjtbK_YUAYJmDIhMR,PyBS^ajvNFcvvGfLPSLR,^Gh^\FdPrJarTRyiMxja,]TxwAO[ufvcUDlJXUIpo,IqHbxsHiAgIM`ta`OsEW
UWTRGtnxTLeZx^fps_Qp,RjOZOMNTerKenmK^URn`,WkbBGUkSKcePp[csCLGZ,fSmjC[XneiwyLg\cRhCh,Ephkgm\h^\UUneWkY]ev,q\PQi^TpSGL\NOt[FlZS,LUqNGQDbNDaCpnGYDurT,YUQtsLng_Bxn`yfQMZII
EKGsDc_dDqsmq`V`Cqwv,epeGKVZ`GBEVZF`r`nlj,OAIWehkYrlIm\LosrfUP,x_wMjAcDReKBTK_OWMmA,vfahZcUsBNJyLXqUCAnY,RbpWaqXrq`CZNHNEq_WI,sqsWs]s`]QP^xU^LsHPr,bdu]CIPDRdXVKIwqfBtZ
jLK[WAU[_kRd_nMNtJRD,JQfCVpWvhpBqykqmsiWU,G[ksCCGAkYCe_Hydd]AE,EvLnRavS[jxhnvAmyBtQ,MMNVbSavvptfZiUTXi\n,ynw\vLXIWAiORHIKSjgA,mqmaOet`DyF]\uGZs^KD,\tOIRpOKHIihFGyJUyJZ
FliHtCkGCVRZlpL\`XVj,tmTkwdYW[VvaoJQQDlHc,TIuydcJPKDaSlNRG]kmP,fHwUd\NZEKs^RtPeRciC,SDEnAFMQqmsw^Tn[lxJW,cdyhPfwUPBumTgAHHWxf,yufaZRJ]iqZeACNAIfb[,^efF\tes]UreGfM\opNJ
paPi_IItnnJTQyMBlwss,rFdcZ^LLXndDqocrj`Fr,LW`[HZBFTYJTaNr^ZKkR,iZTx`jNnaKOKtnaBKtou,JWjvby`C\CXAO^taUCTb,STh`WCNgBXiu\dNwmUwj,LOmgCeR[iAsiviQxtbo[,nncgmlYF_J[ojMhUxGDH
dRNaQgIWeyNkEbG]_]lk,uwliZqus`NGmgOdRXWFb,GFURgrahbK[_dlg`CnmQ,Kb_aIGOeQxQujv^N_Vds,J]BXTmbgskTMIJFpt_fU,dOsEsTO]MVCASRyQotun,bmHMutBYhqQdPjL\UDJn,FveYuyeWkKLD]cqG[RDN
OLOmYNNIDTetmyTwOh^y,KUEyv_NFYPAmLYhZZiO_,\BxqVTACxkgrcEoyEbIg,bqiSyIuxD`QdsjTdcSxe,yC[]wNgZdyshZ[`PeyqV,EtJkVMQDNGGTwkBSTtTZ,Ge_jiecKILJSQpVVLjKA,ivHIrkDdT\MkxBeeCNxi
X[qftGxoqOVMDaZvp`VW,NotopZ`[IO^M^ZAajNBB,gCJeilyK^cUGOlH`WgDK,dPmxOevJBUjPS[NLjb^V,P^drZxmaAXFDIFiNuJhm,YiEVjjg_jwfOQBCrr\uI,\ke]aLq]fcm^aqPrl]ah,HrOE\HQylAULQ_QbDcfU
UpngiwfZgOGeyE[eMn[r,IQbnRCmq[ysoHihQgABe,uRkNlfu^IQaBmEhJJTgp,rbaxILKKsATUtAXiCRMs,lr[OxOAXeiCPOWCYp^[T,hjDSVOgvhrLARLHKsQWS,i[mn]P_dO`uGDa]VfbLo,_PGkc_UnGhloeFjesnLf
yqrrh[WyrIXmsSZXMcCY,fsxuS[[_ekMpJBjDxQSf,Pwlr^sVCLQmFkCiltLmc,fHyQj_lATlrN[vxvYxQC,TJYKGROpHMnpYg`i]r_J,hUTAg[yPrqSYtBbcKYrW,K[CPgHPbddIjsKYQOX\O,^BbLyVKJXCdejqOBMvJK
gyoX`DSinq[BbAUK]kM`,fgvsFsnWMDmvoqsCsASy,SRpkOyhGVyDXkacC`DiO,Psyiqgu`ejrteWVSvsUh,cy^tD_v`[j^qcw]YOOcD,vuky^WNapdg]r]tnlU]g,ZNkKfel\NqNgZfMUCKl[,YfMhQm^qajmTOwYiwtlN
knmxiLMqCsEh[IJghxLl,]PQtNQFTiC_i`VOkrGpk,X\hMPqARrdyHmKiqjRfa,WAlCaTYujaDijfex[WAy,uhmsHC\fu^nyhNLXJcoc,CmWARYXWXmmpkTIGUlsO,Val`ngmQpECd^cLSlrn`,FCYMIppEjw^qOIwZEhZh
DX__YRpsWKWgEIswMcrq,oeGlMXKqDhphSMmhOfaX,WcVRLtomsVLv`SlkOePp,Ai[vJ^YAqCLJjqrqHEhV,dpEOUWslxGtr]km\_Hba,nDEP\_wkvYABXcnSMmVn,tTopfbXwnD\hjWMeCsAn,^gMqYkLlCCmXIJFElSNx
JalaH`ZMTv_wZSbxnpbl,a^gMXaMe[VhaNgHE_Jrx,JXoEbik[CF_ZPnvvxGFa,A^gSwHA^wiTLRDa_mpZt,ldiTLnoreqF[sq`BZLib,KAjeHWbMJB^q[\q^yW^E,ZbCBgxPgZseJCRdWNbGv,oyHgACyYtvyLeDxwVdZw
\RjxkpDYPfoITSdqtOU[,RIsadNyZxIpYNJeblcFq,_BiXAdDQ[C[dEnTkyRRo,qO\SflkhcAuJmnNZCRLm,eGCa[jNU_gpBbJhSSNUD,_lNBCijqQRageOCTnaAL,[hcNMBNB`hnsPdepEUdv,mpRARJZXdhMDokefjXGC
hFqWiGwNaxPmXnJnsRLV,DMlTLP\vIfHUaYNONZFj,`G`_ojkWIAOYccLRgf^w,xOVOieRUZJ`LxW^\qyJc,OSKVB[ANntw^NHoLExyh,`KnXJyipruCNfxRdRauM,VG[W_If[yuMwVywaOsOh,BXKJ_MFqkHZY^dLWgdvh
sfLZWeKd[`EuLapBurqD,T^_rnk]LpFwwaMra[vF\,XlIkdWnTJVETZCkcjhxU,PxdeVvYkZCbwBaT\jNky,Pl[afaLt\^]Prc^bvmSM,TqWZedi^WySejanI_`WG,bhI[aciQ`iADt\pariAp,jmabjrixcY\ValQflsni
SKwQmSGXSdBe]_gwZqIb,[FB`MYTDHJddmLVIXvwR,HvFntU]fUqr^G_]qyBos,vfAKVbsWSiyCUTR\xU\l,xHwe_^VhjuNNLRKe_]hg,MsuX^SyZmweAZgejAOmL,pHgNWd[CnPloqAwtPjyM,leOPCRBa^vfLEbKhTxOf
mBY^WJvZlKx`fBNwRZkc,\AAkx]_oo[ftaDELZTMM,BrErv\mwyOfkMrRacM_Y,rCLaMg`OrmG`YIWjH]fZ,]fvj\^hZxNwxk\sb`r\],CJRn_TYg[N]cvoLrsI\s,eTOxcTnRPJIXoTP_`rHA,YESfAcxxyPWXg]VGNKgb
DiDXGASB_IVvv_OhqKbG,tY_KtNj\rwhuJhvfHjLg,brFW\hkVEHUtlbYjEe_h,GqxvQPj[PmKwOGiYWDnU,TtmHSWUdKsRCnrK[P^KT,I_DIu`RZvybxOukWTniE,IqKg]cO]N`GZPZngcKLc,tHD[YqXmQoeRc`KTfpT]
QOJSQEWh]oGmNGTNkrJy,`R_MrjoggDQ\Kvua^OIY,ggTA_aDOCr_Nc^si]rkv,S\ci`_SBQ`VnFgyJUU`],eTGPRvlrXPFdygxfOtUv,tIAQKqIcXM\TTppPRu]O,[UEalwwXPHOiq^BKMKvp,dZt_`EA`YCsHUeYedQ]v
O^bOIk`f`JacokLZ`IFq,lSrPbSa`iwU^WvWFvSl],ZHxIP\BJudnuxG]WBhRE,MUTrTHjuXvpD]GklUp`P,g]ZV]g^teOvpL_rbNBBw,iOrjdmGCAt\o[Rtcdl]G,PcQNEbdarLYyi\`ena[i,MqpywBVhIVfdIbcOGuKJ
ydo\TXeMRVXFLJpWhXvJ,\HVLMIkUMhmiacI_yuBU,k[[CxxJmh^YoYBNRpogN,VOyWp\eGCDdCZEa^OjcO,L_PPVapwiKLSbtnL]hd\,mITldKL[^QCHRQiP_Fns,TBVtrtpwTSNe`Cja^cCb,iv\nvTvMobQ]nomibHky
BIjOthiBoWHtdj[VoMwC,QTYaX[vNKRuZxyS^lECN,Bm^jT`L[NAqc`F^ZOc^_,hItG[yDwxwP_AKwwKCoQ,uArlEAlobbTSxRBlrOmA,ZLjDLadstMMRHV]kHJFP,QuddVwFKIllmnglDTGIB,HRy`B_fxdpF`aNiTMJRe
t`lxGdNQRZFkV^ADuhWf,lcpGe^h\YvG\JZuuxwFk,]]CFv]xqlgs_`tEfWRx^,FYKaWjgNhNeFusedAbff,qIGYRhGUXUYvjpHlwVRF,SVi`tvqVadiI[\OmYwtB,TqfCa^AElMfvU`scLxPU,p]qdogx_qbNANHKAPcgU
v[woVNCahxhTIgnS\XZe,o]vZ_IxRKWdSkqmq\MaH,`TwdSWNoFKCDFiLkbnif,tqlavu]UfaekbxWhhbaU,jcnvCWmUnOLfNmvovHhI,DUB_DSLfOUWSJEj`EiPb,kQpcJ^VwnJsYNKqvxAJ],BtUgShescxHVloSUxfSa
uKKUOhqIjB_lLcn_^txr,hMysVomM^WBtpJttHaWF,E^EIrkNopRcsqNpWNOYJ,Ifw]^Ddc[vrXrIsra`ca,vYjDiZqdrsmpPfr[YBk`,figKkrQgLCjLcwUpiqBG,jwMUpdkWqo]n`SacxAWM,Am\pcvYfPVUHOIf]vkK]
_VQXuAJIALcQGm^TxXsy,[jfcK`i\`QoZEnrnldXS,uLoouvVq^OLZ_JNV^LY^,YnEgZdyIojRdiAUhFdfm,QuSPlpxnk`M^DKFt`la],ibRkypLDDZGUZnDNVc[k,QNQanI`p`xN^wcGk\nPX,WKskmxNfsVorfGwJtpdX
VB^UokxYlHWkefljSGvs,OJvf\FkrmDAZQoTg_KZi,MhDucRNrvhiddDBlj]vu,WWlDQAL\[p]B`xFHpuVG,jbVEWZRp^NVBqoMISKEh,SXeRIiVKyxmfqgXtQDUe,DtchJK^UYsnoa[GgvxEo,aWEARVZnUMLRZYIrG[oT
hhUl_kmyJf[XORrAu`UR,jc]wthu]tF\IhtsVVJRN,dw`oXOWTH^NAvkKZxXBs,`NgRqLdTYiPZ^G[URVjR,TknYZUUSWQ]gXeDb_P^j,QiP^vPRdcqgkgB_RFIUq,T_RRIrZrMgARRMVVi[lu,EXisC`s`rLLihaWtiEtw
QhQPGpfINwJdlcNtrhjF,CqtxQK_rYX_MZ]sSd^mN,IYJkidlxIMdPsb\\MlLj,BRGg]COWTcBrZFUHL[NN,GyTgVSIwcod^VP_NfEmT,u__BcF[amrGPmZ_x\Y_n,fiaJZ\E^swHuDsk_pQYJ,Ca`X]PON_mHtyQ`xC^ND
qhaiOGfC_gKgoowpQfMX,tfinFnSfXG[IeGTmnpfa,tRTrcKaMudVVeEhimAvC,AWQt\JWi[bpBZNJU]yEF,q]]efVnbifmduelOrXXI,hQwKQ]Bw[L`i[hqEgSYQ,RbDZNGukhWDIPBjTtC`Q,^olEfxjLLg\Bx_IhrpuR
M`JuQVgArnsfnauRsFgZ,wpnOYIxdxiD`M]raHWfn,mgs[onpH`HKoGu[ulcNR,IXeEJcHpNsasBphD[aye,bjeJ^xgLhy_KNlqaCKnQ,DUd`topXrkpKeqwSJtpL,UR[qvrTfReH^yFnIfkdu,EZMCP`DedMPekvPa\tpu
vORH\]gTwjcoufAplYor,EpABjeYaI]mYZljbGVnT,KqBBuo[`Nq`XFXsa_DEF,^_FOiyJFtfV\LRKYkXLk,AJUuSUISZlAJSXIacsXo,iqoSNu]VqCILFUGa][^U,_sJnSIRUNc^WoSfkGxvy,^XSbCGsDHVUiNQIIbgFL
EsdlMTeJmVlj[\UUvTTc,kR]CKYYFZthWRD\wHgrR,HpesQDBwmoFFIXgse^jr,TbM^\VSVuDjlHRyjaNBB,rRMqQbmvALpyIlcJatOi,]eprH`A]WJ`gZ]OkS`Pf,p[busu[PdBk]AYtfdSpq,tirUnkHVSD[Ro_sYyIFQ
WmlYQI_SdtGyJDTHed^D,ahPasCLrB`fdcWFMYLNm,tmxnhLORMGVpZNT_oJPt,GggBEdsvPawG\EFlVuOi,joTQfuxQ_ZtlqUfWWfib,`hOr`hAnmagpsXTLJF]H,dNJF\_beroG_TyDSJfxP,FoO[QvptGucCWXKDGKtO
uWKGgXHkgVPklwa]RaIw,YTsRvqafpbOcZkFgRTgF,eIqR^gtAefdW]qJlQd\d,qrQwUVgdWOqEXlXVfxix,NT_AfttrejHnDgKGduc],CQHl^F]\U]TCWw_nuF`F,BxdP`d_rVJYWstlIbqLH,Tfyw``XyOWTrRsBHURBs
WoshBElDp_ROxhOwtqbw,oXUwqLgPqOvFTEiVZHs_,\dqWKCyGZqgacPiJfTyO,FLsSGpyO\iHnC^r\ceZ[,Pql^dPJytAoULxiVqT\y,qnNMxMqXrZBE_WNGagje,Oa_vUCwfpEiiErETmnqa,JliDJJ_kHH]le^xjCS`m
sAFS_hnCdwspQkQSQSqk,VUZ`AFCJOk_SIfmZYC\C,kFLJ`_gIqokqaVtqqEK[,^WSYgycuWmLC]XQQpntj,a^Xkss[wI`tNskIZ\jcm,wyMmpD^vbGEVfDDYBLnM,emVPTn]eNFEn_fvgcQTn,WWGrJk]_TCD_jdRoNTUS
EHjOJYGJvitmmxsqMSyl,\tXx[hbbEdjLGVdIBhJE,m`IluvbbLSIwavvoVI[e,Gqkau[mykyO_XjEs_]wN,_DHipIcvxKAaSnOmxD`K,uNnnKTiSgLGcXYWPu`A`,WiULkjKoEuVmqOQlTHVI,mmoOmCYnp\xJfYnTAqNK
AlMdYGw]romWoaft_Pe`,vFFJOqMRZbj[OvXratWG,_uBQjucjRjmouIQOeEU^,uXqONdBG^tvfvKoDomLJ,nM_ZQ^xPybSkuFyuNuyX,aSa_QAWhaNJkG\NhonLt,HJmUmEJYMFliX_aYgeVh,wcNCrXMyRH^GtvfrPUfl
